价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,每平米价格
2510.0,9.0,29901-C,3室1卫,4/4层,昌平区,回龙观,南店新村,地铁：距8号线育新站1100米,278.8888888888889
1690.0,8.0,47967-C,5室2卫,18/27层,大兴区,天宫院,保利首开熙悦春天,地铁：距4号线大兴线天宫院站250米,211.25
1480.0,13.0,52390-C,3室1卫,2/6层,顺义区,俸伯,港馨家园东区,地铁：距15号线俸伯站3050米,113.84615384615384
1550.0,9.0,53196-A,3室1卫,4/6层,通州区,北运河东,武夷花园牡丹园,地铁：距6号线北运河东站1850米,172.22222222222223
2860.0,14.0,64825-D,4室1卫,11/19层,西城区,广安门内,建功北里,地铁：距7号线广安门内站1000米,204.28571428571428
1880.0,18.0,63722-B,2室1卫,5/6层,昌平区,昌平,静心苑,地铁：距昌平线昌平站850米,104.44444444444444
2690.0,19.0,70491-A,2室1卫,4/6层,石景山区,古城,八角北路,地铁：距1号线古城站1000米,141.57894736842104
2140.0,16.0,71-C,4室2卫,3/5层,大兴区,亦庄桥,莱茵河畔,地铁：距亦庄线亦庄桥站800米,133.75
2850.0,9.0,116679-B,3室1卫,18/18层,朝阳区,三元桥,静安东里,"地铁：距10号线,12号线,机场线三元桥站550米",316.6666666666667
2790.0,9.0,132891-C,3室1卫,19/31层,朝阳区,青年路,国美第一城西区,地铁：距6号线青年路站1250米,310.0
3750.0,32.0,134265-A,1室1卫,17/30层,通州区,临河里,华业东方玫瑰,地铁：距八通线临河里站650米,117.1875
2190.0,7.0,1217-B,4室1卫,7/29层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米,312.85714285714283
3530.0,9.0,146414-A,2室1卫,2/6层,海淀区,清华东路西口,东王庄,地铁：距15号线清华东路西口站200米,392.22222222222223
4820.0,50.0,146501-A,1室1卫,6/18层,石景山区,古城,古城现代嘉园,地铁：距1号线古城站1250米,96.4
7090.0,86.0,149975-A,2室1卫,2/6层,昌平区,回龙观,金榜园,地铁：距13号线回龙观站1200米,82.44186046511628
1710.0,10.0,19001-A,3室1卫,6/6层,顺义区,石门,西辛南区,地铁：距15号线石门站450米,171.0
2280.0,11.0,19319-C,3室1卫,4/6层,昌平区,朱辛庄,朱辛庄北区,"地铁：距昌平线,8号线朱辛庄站550米",207.27272727272728
2440.0,16.0,20292-C,3室1卫,1/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米,152.5
2400.0,17.0,21699-A,3室1卫,1/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米,141.1764705882353
2080.0,8.0,19019-C,3室1卫,14/21层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米,260.0
1250.0,6.0,22753-C,3室1卫,11/28层,通州区,通州北关,富力惠兰美居,地铁：距6号线通州北关站3100米,208.33333333333334
2340.0,10.0,165-B,4室2卫,5/11层,丰台区,石榴庄,彩虹城二区,地铁：距10号线石榴庄站900米,234.0
2070.0,15.0,32090-D,6室2卫,6/6层,朝阳区,孙河,康营小区C区,地铁：距15号线孙河站1350米,138.0
2450.0,10.0,3194-A,3室1卫,24/29层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米,245.0
1860.0,11.0,35692-C,3室1卫,16/28层,昌平区,昌平,金隅万科城,地铁：距昌平线昌平站900米,169.0909090909091
1980.0,10.0,43185-B,2室1卫,1/6层,通州区,果园,后南仓,地铁：距八通线果园站1050米,198.0
2440.0,10.0,29429-B,3室1卫,25/27层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米,244.0
2030.0,14.0,48275-B,4室1卫,14/28层,昌平区,昌平,金隅万科城,地铁：距昌平线昌平站900米,145.0
1950.0,14.0,55151-D,4室1卫,1/6层,通州区,通州北苑,杨庄小区,地铁：距八通线通州北苑站400米,139.28571428571428
1830.0,11.0,72510-A,2室1卫,1/6层,通州区,梨园,艺苑西街7号院,地铁：距八通线梨园站1100米,166.36363636363637
7480.0,63.0,70580-A,1室1卫,8/9层,朝阳区,青年路,珠江罗马嘉园西区,地铁：距6号线青年路站500米,118.73015873015873
2130.0,10.0,79595-D,4室1卫,2/11层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米,213.0
1590.0,9.0,135374-A,3室1卫,5/6层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米,176.66666666666666
